Mairie gestionnaire;Type d'équipement;Désignation_longue;AP_num;AP_cnu;AP_cp;Ap_voie
MAIRIE DU  7E;Ecole maternelle & annexes;ECOLE MATERNELLE 117 B RUE SAINT-DOMINIQUE;117;B;75007;RUE SAINT-DOMINIQUE
MAIRIE DU  7E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 10 AV LA MOTTE-PICQUET;10;;75007;AVENUE DE LA MOTTE-PICQUET
MAIRIE DU  7E;Mairie d'arrondissement;MAIRIE DU 7E ARRONDISSEMENT;116;;75007;RUE DE GRENELLE
MAIRIE DU  7E;Promenade ouverte, mail planté, jardin, square;SQUARE DES MISSIONS ETRANGERES;105;;75007;RUE DU BAC
MAIRIE DU  7E;Jardinet décoratif, plate-bande;JARDINET MOTTE-PICQUET SANTIAGO DU CHILI;2;;75007;PLACE SALVADOR ALLENDE
MAIRIE DU  7E;Jardinet décoratif, plate-bande;JARDINET DE LA PLACE JACQUES BAINVILLE;2;;75007;PLACE JACQUES BAINVILLE
MAIRIE DU  8E;Médiathèque;BIBLIOTHEQUE-DISCOTHEQUE MUNICIPALE DE L'EUROPE;3;;75008;RUE DE LISBONNE
MAIRIE DU  8E;Ecole polyvalente;ECOLE POLYVALENTE 10 RUE PAUL BAUDRY;10;;75008;RUE PAUL BAUDRY
MAIRIE DU  8E;Ecole polyvalente;ECOLE POLYVALENTE 15 RUE MONCEAU;15;;75008;RUE DE MONCEAU
MAIRIE DU  8E;Jardinet décoratif, plate-bande;JARDINET AUX ABORDS DU PASSAGE SOUTERRAIN ALMA;4;V;75008;PLACE DE L' ALMA
MAIRIE DU  8E;Jardinet décoratif, plate-bande;JARDINET DE LA PLACE CHASSAIGNE-GOYON;2;V;75008;PLACE CHASSAIGNE-GOYON
MAIRIE DU  8E;Gymnase;GYMNASE ROQUEPINE;18;;75008;RUE ROQUEPINE
MAIRIE DU  9E;Conservatoire;CONSERVATOIRE MUNICIPAL NADIA ET LILI BOULANGER;17;;75009;RUE DE ROCHECHOUART
MAIRIE DU  9E;Ecole maternelle & annexes;ECOLE MATERNELLE 22 RUE ROCHECHOUART;22;;75009;RUE DE ROCHECHOUART
MAIRIE DU  9E;Ecole maternelle & annexes;ECOLE MATERNELLE 34 RUE BUFFAULT;34;;75009;RUE BUFFAULT
MAIRIE DU  9E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 12 RUE CHAPTAL;12;;75009;RUE CHAPTAL
MAIRIE DU  9E;Annexe de Mairie d'arrondissement;PARKING DE L'HOTEL DROUOT 12-14 RUE CHAUCHAT;12;;75009;RUE CHAUCHAT
MAIRIE DU  9E;Crèche collective;CRÈCHE COLLECTIVE 25, RUE DE LA ROCHEFOUCAULD;25;B;75009;RUE DE LA ROCHEFOUCAULD
MAIRIE DU  9E;Crèche collective;CRECHE COLLECTIVE 32-34 RUE DE CHATEAUDUN;32;;;RUE DU CHATEAUDUN
MAIRIE DU  9E;Terrain d'éducation physique;TEP DUPERRE;22;;75009;RUE DUPERRE
MAIRIE DU  9E;Salles de sports;SALLES DE SPORT DE LA TOUR D'AUVERGNE;15;B;75009;RUE DE LA TOUR D'AUVERGNE
MAIRIE DU  9E;Piscine;PISCINE GEORGES DRIGNY;18;;75009;RUE BOCHART DE SARON
MAIRIE DU 10E;Bibliothèque;BIBLIOTHEQUE MUNICIPALE CHATEAU D'EAU;72;;75010;RUE DU FAUBOURG SAINT-MARTIN
MAIRIE DU 10E;Ecole maternelle & annexes;ECOLE MATERNELLE 20 RUE PARADIS;20;;75010;RUE DE PARADIS
MAIRIE DU 10E;Ecole maternelle & annexes;ECOLE MATERNELLE 28 RUE ECLUSES SAINT-MARTIN;28;;75010;RUE DES ECLUSES SAINT-MARTIN
MAIRIE DU 10E;Ecole maternelle & annexes;ECOLE MATERNELLE 39 RUE AQUEDUC;39;;75010;RUE DE L' AQUEDUC
MAIRIE DU 10E;Ecole maternelle & annexes;ECOLE MATERNELLE 49 RUE LOUIS BLANC;49;;75010;RUE LOUIS BLANC
MAIRIE DU 10E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 3 RUE BELZUNCE;3;;75010;RUE DE BELZUNCE
MAIRIE DU 10E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 10 RUE EUGENE VARLIN;10;;75010;RUE EUGENE VARLIN
MAIRIE DU 10E;Ecole élémentaire & annexes;ECOLE ÉLÉMENTAIRE 17 RUE MARSEILLE;17;;75010;RUE DE MARSEILLE
MAIRIE DU 10E;Promenade ouverte, mail planté, jardin, square;SQUARE DES MAURES;150;X;75010;QUAI DE VALMY
MAIRIE DU 10E;Promenade ouverte, mail planté, jardin, square;JARDIN VILLEMIN;8;;75010;RUE DES RECOLLETS
MAIRIE DU 10E;Promenade ouverte, mail planté, jardin, square;SQUARE DES RECOLLETS;90;X;75010;QUAI DE VALMY
MAIRIE DU 10E;Promenade ouverte, mail planté, jardin, square;SQUARE EUGENE VARLIN;151;X;75010;QUAI DE JEMMAPES
MAIRIE DU 10E;Jardinet décoratif, plate-bande;JARDINET DE LA STATUE DU FAUNE;25;V;75010;RUE DU CHATEAU LANDON
MAIRIE DU 10E;Jardinet décoratif, plate-bande;JARDINET SAINT VINCENT DE PAUL (FENELON);2;;75010;RUE FENELON
MAIRIE DU 10E;Jardinet décoratif, plate-bande;JARDINET DE LA PLACE RAOUL FOLLEREAU;2;;75010;PLACE RAOUL FOLLEREAU
MAIRIE DU 10E;Jardinet décoratif, plate-bande;PLATE-BANDE DU ROND-POINT LOUIS BLANC;1;V;75010;PLACE T/10
